RINFID	Administrative division code	RINFORMATION	PNUMATT
12	520100	以贵A开头，尾数为英文字母的普通号牌，每日7:00至21:00禁止驶入贵阳市一环内(含一环)道路	1
13	520100	长期在本市行驶的外地号牌小型客车(已登记备案)尾号为英文字母的，按“0”号管理，即星期五为停驶时间	2
14	520100	外地车辆执行“开四停四”。<br>指非贵阳市牌照(含临时牌照)9座以下载客汽车(未登记备案)实行驶入一环内(含一环)连续行驶时间最长不得超过4天(含4天，按自然天数计算)，再次驶入须间隔4天以上。<br>因特殊情况需超过4天行驶一环路(含一环路)以内道路的，持相关证明向贵阳市公安交通管理局申请办理临时通行证后通行，临时通行证有效期最长不超过2天。<br>如遇国家法定节假日，不实施“开四停四”，节假日之后，“开四停四”清零重新计算	2
15	220100	6时至20时，在人民广场、人民大街(新发路至卫星广场)、吉林大路(亚泰大街至东环城路)、自由大路(新民广场至东环城路)行驶的机动车按车牌尾号每月禁行三天，即车牌尾号与日期尾号相同的车辆，当日规定时段内不得驶入限行区域。如:<br>每月1日、11日和21日，车牌尾号为“1”的禁行;<br>每月2日、12日和22日，车牌尾号为“2”的禁行，其余依此类推。<br>车牌尾号为英文字母的按尾号为“4”管理，含临时号牌、外埠号牌，31日不做限制	3
16	510100	所有“川A”及外地籍号牌号牌汽车,实行工作日(法定节假日除外)区域“尾号限行”政策。<br>限行时间:07:30-20:00。<br>限行区域:三环路(含)与二环路(含)之间区域内所有道路，含二环高架路面。<br>限行车辆按照机动车号牌(含临时号牌)的最后一位阿拉伯数字分为五组，即:<br>星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0	3
17	360100	机动车在工作日(法定节假日除外)7时至21时实施尾号限行政策。<br>限行区域:洪城路、抚河南路、施尧路的灌婴路口至三店西路口段、三店西路、井冈山大道的三店西路口至洪都南大道口段、洪都南大道、洪都中大道、洪都北大道、沿江北大道、沿江中大道围合的区域(含以上道路)和南昌大桥、八一大桥。<br>对南昌市核发号牌尾数为英文字母的机动车(含机动车临时号牌和赣M号牌)，按车牌最后一个阿拉伯数字实行。即:<br>星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0	1
18	360100	限行区域:南昌大桥、八一大桥(不含南面匝道)<br>限行时间:每日7:00-9:30，16:30-20:30<br>限行规则:禁止外地号牌机动车通行	2
19	360100	限行区域:阳明路的象山路口至二经路口段、八一大道福州路口至中山路口段。<br>限行时间:每日7:00-20:30。<br>限行规则:禁止外地号牌机动车通行	2
20	120000	自2015年1月11日至2016年4月9日，工作日(法定节假日除外)7时至19时。<br>本市及外埠牌照机动车在外环线(不含)以内道路，继续实施车牌尾号区域限行交通管理措施。<br>按车牌尾号区域限行的机动车号牌(含临时号牌)尾号分为5组，定期轮换限行日，分别为:<br>(一)自2015年10月11日至2016年1月9日，星期一至星期五限行机动车号牌尾号分别为4和9、5和0、1和6、2和7、3和8;<br>(二)自2016年1月10日至2016年4月9日，星期一至星期五限行机动车号牌尾号分别为3和8、4和9、5和0、1和6、2和7;<br>(三)自2016年4月10日至2016年7月9日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6;<br>(四)自2016年7月10日至2016年10月8日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0;  <br>(五)自2016年10月9日至2017年1月7日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9;<br>车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准	3
21	120000	自2015年1月11日起，工作日(法定节假日除外)每日7时至9时和16时至19时。<br>全号段外埠牌照机动车在外环线(不含)以内道路禁止通行	2
22	620100	所有9座以下社会车辆和出租车执行尾号限行规定。<br>限行时间工作日7点到20点，限行区域东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。<br>机动车按车牌尾号和对应的日期依次执行限行，即:<br>车牌尾号为l、6的机动车，每月1日、6日、11日、16日、21日、26日、31日限行;<br>车牌尾号为2、7的机动车，每月2日、7日、12日、17日、22日、27日限行;<br>车牌尾号为3、8的机动车，每月3日、8日、13日、18日、23日、28日限行;<br>车牌尾号为4、9的机动车，每月4日、9日、14日、19日、24日、29日限行;<br>车牌尾号为5、O的机动车，每月5日、10日、15日、20日、25日、30日限行。<br>周六周天、国家法定节假日不限行;<br>车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准	1
23	620100	对非兰州市号牌核载不足9人的载客汽车执行高峰限行措施，即:<br>工作日7:30至9:00、11:00至12:30、17:00至19:30限行，法定节假日(含调休日)、双休日不限行。<br>限行区域:东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)	2
24	420100	长江大桥，江汉桥每日7时至22时，中型(含)以下载客汽车按车牌尾号分单双号通行，即:<br>车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行;<br>车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行;<br>出租车不受限制	3
OK	420100	2014年6月9日至2016年6月30日， 每日7:00至20:00，岱黄公路(三金潭立交－府河收费站)段中型(含)以下载客汽车按车牌尾号分单双日通行，即:<br>车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行;<br>车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行	3
26	440300	(一)关于东门中路（深南路口至晒布路口段）交通组织的调整<br>1.限行对象:对经东门中路南北双向通行的社会车辆。<br>2.限行时间:每日15时至19时<br>3.限行规则:按车牌号最后一位阿拉伯数字对应日期尾数，同为单数或同为双数的，准予进入通行。<br>(二)关于对东门商业步行街区域通行措施的调整<br>1.限行区域:东门路以西、立新路以南、新园路以东、深南辅路和永新街以北内侧人行道范围内<br>2.限行时间:每日7时至24时 <br>3.限行对象:除执行任务的特种车辆外的其他车辆<br>4.限行规则:禁止其他车辆进入罗湖区东门商业步行街区域内通行(车辆是指机动车和非机动车)	3
28	440300	在工作日7:00-9:00,17:30-19:30，禁止非本市核发机动车号牌载客汽车在以下区域通行:<br>(一)福田区、罗湖区、南山区、盐田区，除去进出深圳口岸路段。<br>除去的口岸路段详细描述:<br>1、深圳湾口岸：沿江高速、东滨隧道、东滨路、沙河西路;<br>2、皇岗口岸：广深高速、皇岗路(皇岗口岸段)、百合路、同庆路、福田南路(皇岗口岸段)。<br>3、福田口岸：广深高速、桂花路、国花路、裕亨路;<br>4、罗湖口岸：布吉路、文锦北路、泥岗东路(洪湖西路至洪湖立交段)、洪湖西路、人民公园路、和平路、沿河南路辅道东行方向(人民南路至文锦南路段)、文锦南路、文锦中路;<br>5、文锦渡口岸：布吉路、文锦北路、文锦中路、文锦南路;<br>6、沙头角口岸：盐坝高速、盐排高速、深盐路、沙盐路、沙深路;<br>(二)龙岗区<br>1、区域一:东起龙城大道(含龙城大道)，西至黄阁路(含黄阁路)，南起龙翔大道(含龙翔大道)，北至龙平西路(含龙平西路)及其合围区域内道路。区域二:东起坂雪岗大道(含坂雪岗大道)，西至五和大道(含五和大道)，南起雅园路(含雅园路)，北至雪岗北路(含雪岗北路)及其合围区域内道路;<br>2、道路:坂雪岗大道;<br>(三)宝安区<br>1、区域:东起前进一路、二路(含前进一路、二路)，西至新湖路(含新湖路)，南起湖滨西路、中路(含湖滨西路、中路)，北至西乡大道(不含西乡大道)及其合围区域内道路;<br>2、道路:宝安大道;<br>(四)龙华新区<br>1、区域:东起梅观高速(不含梅观高速)，西至福龙路(不含福龙路)，南起南坪快速(不含南坪快速)，北至机荷高速(不含机荷高速)及其合围区域内道路;<br>2、道路:观澜大道，大和路，沿河路;<br>(五)光明新区道路:光明大道;<br>(六)坪山新区道路:中山大道;<br>(七)大鹏新区道路:迎宾路	2
29	310000	禁止悬挂外省市机动车号牌的小客车、使用临时行驶车号牌的小客车、未载客的出租小客车及实习期驾驶员驾驶的小客车通行。<br>限行时间:工作日07:00-10:00;15:00-20:00(周六日及法定假日除外)。<br>限行区域:<br>(一)延安高架路(S20以东段);<br>(二)南北高架路(呼玛路至鲁班立交段);<br>(三)逸仙高架路(全线);<br>(四)沪闵高架路(全线); <br>(五)中环路(全线);<br>(六)华夏高架路(全线);<br>(七)罗山高架路(全线);<br>(八)度假区高架路(中环路至秀浦路段);<br>(九)内环高架路(除内圈中山北二路入口至锦绣路出口、外圈锦绣路入口至黄兴路出口以外的路段);<br>(十)南浦大桥;<br>(十一)卢浦大桥;<br>(十二)延安东路隧道	2
30	310000	全天禁止“沪C”号牌机动车辆驶入以下道路及区域内。<br>中环路(杨高南路立交桥至华夏高架路)、华夏高架路，外环隧道(黄浦江边起向西)-外环线环北大道-外环线环西二大道-外环线环西一大道-外环线环南一大道-杨高路立交-杨高南路-龙阳路立交-龙阳路-龙东大道-金桥路-金桥立交-杨高中路-杨高北路到长江边所构成的外环线道路范围内(含上述道路)	1
31	320100	全天禁止外地号牌、本地大货车、大客车(20座以上大巴)在长江大桥通行	2
32	130100	工作日(法定节假日除外)7:30-8:30、17:30-19:00，禁止外埠车辆在二环路(不含)以内道路通行	2
33	330200	江厦桥、灵桥规定时间内实行单双号限行，单号日期双号车牌限行，双号日期单号车牌限行<br>车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准	3
34	654000	法定工作日(周一至周五，节假日调整除外)每日早高峰08:50-10:20、午高峰13:00-14:00、晚高峰19:20-20:20;<br>禁止外牌车(军警、消防、救护、客运班线车辆除外)在国道218线-省道220线-南环路-滨河路-X699线-重庆路围合区域内(不含以上道路)通行	2
35	450200	柳江大桥在07:00-22:00实行单双号限行，单号日期双号车牌限行，双号日期单号车牌限行；<br>车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准	3
36	420200	杭州东路(澄月岛路口至商场路口)在17:00-19:00实行单双号限行，单号日期双号车牌限行，双号日期单号车牌限行；<br>车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准	3
37	650100	法定工作日(周一至周五，假日调整除外)每日北京时间09:00-10:30(早高峰)、18:30-21:00(晚高峰)。<br>以下区域禁止外埠号牌车辆(军警、消防、救护、客运班线车辆除外)通行:<br>河南西路-河南东路-红光山路-会展南路-东外环路-东后街-东大梁西街-大湾北路-大湾南路-三屯碑路-新华南路-应急通道-河滩快速路-珠江路-仓房沟路-钱塘江路-西外环路(含上述道路及高架桥下道路)等道路围合的区域	2
38	130600	一、限行时间:<br>自2016年6月1日至12月31日，每天7时至20时，市城建界内施行机动车限行措施(不含周六日)。<br>二、限行区域:<br>市城建界内:107国道(不含)以东、腾飞大街(含)以西、永济路(含)以南、郦道元路(含)以北。<br>三、限行规定:<br>车牌尾号是字母的按数字0管理。<br>1.自2016年6月1日至7月10日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6;<br>2.自2016年7月11日至10月9日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0;<br>3.自2016年10月10日至12月31日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9	3
39	210200	具体措施:<br>1、限行时间：2016年5月20日至10月8日期间所有法定节假日的9时至16时。<br>2、限行路段：滨海路东段的迎宾路至石槽、滨海路中段的虎雕群停车场至小傅家庄浴场、滨海路西段的进入星海湾大桥匝道口至国宝典藏路段（以现场设置的交通标志为准）。<br>3、限行范围：悬挂辽B号段的7座以下小型客车（不含7座、不含出租车）。<br>4、限行规则<br>（1）上述车辆按机动车号牌最末位数字（号）和当天日期（日），单号单日、双号双日行驶；号牌最末位为字母的，以前一位阿拉伯数字为准。（单：1、3、5、7、9；双：2、4、6、8、0）<br>（2）滨海路全线全天禁止非机动车、摩托车、货运车辆通行。<br>（3）滨海路沿线的停车场无空闲泊位时，等候进场车辆禁止在车行道滞留等候	1
40	141000	临汾市将于2月28日至10月31日对鼓楼南北街实施临时交通管制。同时，为缓解城内交通压力，在交通管制期间内，将在“临汾市区铁路桥以西、滨河东路以东（不含滨河东路）；高河桥以南、南环路以北（不含南环路）”范围内施行机动车单双号限行。<br>交通管制期间，除军车、警车、消防车、救护车、工程抢险车、运钞车、公交车、客运车、出租车、邮政专用车、特殊公务车；经有关部门核定的施工车辆、单位班车、学校校车、生活物资配送车；公用、环卫、园林作业车、市政养护车辆等特殊机动车辆外，其他机动车辆，在临汾市区范围内一律按车牌尾号实施限行（含临时号牌）。限行的机动车车牌尾号为单数单日通行，尾号为双数或英文字母的双日通行，各县市进入临汾市区管制区内的机动车辆，一律执行单双号限行规定，外省市机动车辆进入管制区，按照交通管制区域限制有关规定执行。<br>交通管制期间，两条道路将改为单行线：在解放路，自市府街口至平阳广场路段，由西向东单向通行；在鼓楼东西大街，自平阳南北街东关十字交叉口至朝殿南巷南口，由东向西单向通行。	3
41	371500	自2016年4月15日起，对古城区四条大街(楼东大街、楼南大街、楼西大街、楼北大街)的过境机动车辆(除居民和商户自有车辆，校车及到古城游览和消费的车辆外)全面禁行。<br>对实验小学的接送学生的车辆，实行分时段限行，可通行时间段为上午7:30—8:10,11:20—12:00，下午1：30—2:10,4:10—5:00。	1
42	130300	一、北戴河区单双号限行区域及措施<br>  （一）限行时间<br>  每周六、周日8:00至22:00。<br>  （二）限行区域和道路<br>  滨海大道山东堡立交桥以西、西部快速路（不含）以南，新驼峰路（不含）以东区域内全部道路，以及海北路（205国道以南路段）、京哈高速北戴河引道（太平庄立交桥以东路段）。<br>  （三）限行原则<br>  每周六、周日8:00至22:00，上路行驶的本市号牌机动车（冀C号牌机动车）在上述限行区域内道路按车牌尾号实行单号单日行驶、双号双日行驶(车牌单号为1、3、5、7、9，双号为2、4、6、8、0) ，尾号为英文字母的以最后一位阿拉伯数字为准；已核发通行证的货运机动车，除按照公安交管部门指定的时间、路线行驶外，双休日执行单双号限行措施。<br>二、其他机动车限行措施<br>  （一）重点限行道路<br>  1.北戴河区西海滩路（剑秋路至西六路段）、中海滩路（保二路至东三路段）、保四路、保五路、保六路、七桥南路、东一路、东二路，禁止机动车通行（指定的公交车、持暑期专用通行证机动车除外）。<br>  2.北戴河区中海滩路（保五路至东二路段），设置为步行街，持专用通行证机动车实行由西向东单向通行	3
43	130200	从4月29日至10月16日，每天8:00－18:00，对非营运小（轻、微）型汽车实施车牌尾号轮换限行措施。<br>一、限行范围<br>唐山市中心区范围内“大庆道（不含）—开越路（不含）—南湖大道（含女织寨立交桥以西路段，不含女织寨立交桥及立交桥以东路段）—唐安路（不含）”合围的内部区域。<br>二、单双号限行日期及规定<br>4月29日，5月2日，6月1日、9日、10日，9月15日、16日，10月3日至7日，以及每个周六、周日，实施单双号限行措施（单号单日通行，禁行双号车辆；双号双日通行，禁行单号车辆）。<br>三、两号轮换禁行日期及规定<br>除上述单双号限行日期外，其它日期实施两个尾号轮换禁行措施：周一禁行尾号1和6，周二禁行尾号2和7，周三禁行尾号3和8，周四禁行尾号4和9，周五禁行尾号5和0。<br>	3
44	610900	自2016年2月1日起，每日7时30分至8时30分、10时30分至12时30分、13时30分至14时30分、16时至18时期间，禁止机动车驶入育才东路、培新街、五星街等路段。<br>东堤内环路、西堤外环路、静宁路、新城南路、南井街、魁星楼街等路段实行由北向南单向通行；东堤外环路、西堤内环路、果园路、新城北路、东井街、金州路（雷神殿至水西门）等路段实行由南向北单向通行；培新街实行由东向西单向通行；五星街（汉滨中学至鼓楼街）实行由西向东单向通行	3
45	421000	对江滩公园长江大堤城区段实行分时交通管制；<br>一、  管制时间：<br>从即日起早6：00至9：00  晚18：00至21：00<br>二、  管制路段：<br>从夹街头上江堤路口至州陵大道（老车站）上江堤路口，禁止机动车通行。（摩托车、电瓶车除外）	3
