RINFID	Administrative division code	RINFORMATION	PNUMATT
17	360100	机动车在工作日(法定节假日除外)7时至21时实施尾号限行政策。<br>限行区域:洪城路、抚河南路、施尧路的灌婴路口至三店西路口段、三店西路、井冈山大道的三店西路口至洪都南大道口段、洪都南大道、洪都中大道、洪都北大道、沿江北大道、沿江中大道围合的区域(含以上道路)和南昌大桥、八一大桥。<br>对南昌市核发号牌尾数为英文字母的机动车(含机动车临时号牌和赣M号牌)，按车牌最后一个阿拉伯数字实行。即:<br>星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。	1
18	360100	限行区域:南昌大桥、八一大桥(不含南面匝道)<br>限行时间:每日7:00-9:30，16:30-20:30<br>限行规则:禁止外地号牌机动车通行。	2
19	360100	限行区域:阳明路的象山路口至二经路口段、八一大道福州路口至中山路口段。<br>限行时间:每日7:00-20:30。<br>限行规则:禁止外地号牌机动车通行。	2
20	120000	自2015年1月11日至2016年4月9日，工作日(法定节假日除外)7时至19时。<br>本市及外埠牌照机动车在外环线(不含)以内道路，继续实施车牌尾号区域限行交通管理措施。<br>按车牌尾号区域限行的机动车号牌(含临时号牌)尾号分为5组，定期轮换限行日，分别为:<br>(一)自2015年10月11日至2016年1月9日，星期一至星期五限行机动车号牌尾号分别为4和9、5和0、1和6、2和7、3和8;<br>(二)自2016年1月10日至2016年4月09日，星期一至星期五限行机动车号牌尾号分别为3和8、4和9、5和0、1和6、2和7。                                                 <br>(三)自2016年4月10日至2016年7月9日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6。                                             <br>(四)自2016年7月10日至2016年10月8日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。                                             <br>(五)自2016年10月9日至2017年1月7日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9。	3
21	120000	自2015年1月11日起，工作日(法定节假日除外)每日7时至9时和16时至19时。<br>全号段外埠牌照机动车在外环线(不含)以内道路禁止通行。	2
22	620100	所有9座以下社会车辆和出租车执行尾号限行规定。<br>限行时间工作日7点到20点，限行区域东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。<br>机动车按车牌尾号和对应的日期依次执行限行，即:<br>车牌尾号为l、6的机动车，每月1日、6日、11日、16日、21日、26日、31日限行;<br>车牌尾号为2、7的机动车，每月2日、7日、12日、17日、22日、27日限行;<br>车牌尾号为3、8的机动车，每月3日、8日、13日、18日、23日、28日限行;<br>车牌尾号为4、9的机动车，每月4日、9日、14日、19日、24日、29日限行;<br>车牌尾号为5、O的机动车，每月5日、10日、15日、20日、25日、30日限行。<br>周六周天、国家法定节假日不限行。	1
23	620100	对非兰州市号牌核载不足9人的载客汽车执行高峰限行措施，即:<br>工作日7:30至9:00、11:00至12:30、17:00至19:30限行，法定节假日(含调休日)、双休日不限行。<br>限行区域:东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。	2
24	420100	长江大桥，江汉桥每日7时至22时，中型(含)以下载客汽车按车牌尾号分单双号通行，即:<br>车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行;<br>车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行;<br>出租车不受限制。	3
25	420100	2014年6月9日至2016年6月30日， 每日7:00至20:00，岱黄公路(三金潭立交－府河收费站)段中型(含)以下载客汽车按车牌尾号分单双日通行，即:<br>车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行;<br>车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行;	3
26	440300	(一)关于南山区科技南十路、科技南十二路的调整<br>1.限行时间:工作日每天8时至10时。<br>2.限行区域:南山区科技南十路(深南大道至高新南一道)。<br>3.限行规则:由双向通行调整为由北向南单向通行;其余时段，恢复双向通行。<br>(二)关于东门中路（深南路口至晒布路口段）交通组织的调整<br>1.限行对象:对经东门中路南北双向通行的社会车辆。<br>2.限行时间:每日15时至19时<br>3.限行规则:按车牌号最后一位阿拉伯数字对应日期尾数，同为单数或同为双数的，准予进入通行。<br>(三)关于对东门商业步行街区域通行措施的调整<br>1.限行区域:东门路以西、立新路以南、新园路以东、深南辅路和永新街以北内侧人行道范围内<br>2.限行时间:每日7时至24时 <br>3.限行对象:除执行任务的特种车辆外的其他车辆<br>4.限行规则:禁止其他车辆进入罗湖区东门商业步行街区域内通行(车辆是指机动车和非机动车)。	3
28	440300	在工作日7:00-9:00,17:30-19:30，禁止非本市核发机动车号牌载客汽车在以下区域通行:<br>(一)福田区、罗湖区、南山区、盐田区，除去进出深圳口岸路段。                   <br>(二)龙岗区<br>1、区域一:东起龙城大道(含龙城大道)，西至黄阁路(含黄阁路)，南起龙翔大道(含龙翔大道)，北至龙平西路(含龙平西路)及其合围区域内道路。区域二:东起坂雪岗大道(含坂雪岗大道)，西至五和大道(含五和大道)，南起雅园路(含雅园路)，北至雪岗北路(含雪岗北路)及其合围区域内道路。<br>2、道路:坂雪岗大道。<br>(三)宝安区<br>1、区域:东起前进一路、二路(含前进一路、二路)，西至新湖路(含新湖路)，南起湖滨西路、中路(含湖滨西路、中路)，北至西乡大道(不含西乡大道)及其合围区域内道路。<br>2、道路:宝安大道。<br>(四)龙华新区<br>1、区域:东起梅观高速(不含梅观高速)，西至福龙路(不含福龙路)，南起南坪快速(不含南坪快速)，北至机荷高速(不含机荷高速)及其合围区域内道路。<br>2、道路:观澜大道，大和路，沿河路。<br>(五)光明新区道路:光明大道。<br>(六)坪山新区道路:中山大道。<br>(七)大鹏新区道路:迎宾路。	2
29	310000	禁止悬挂外省市机动车号牌的小客车、使用临时行驶车号牌的小客车、未载客的出租小客车及实习期驾驶员驾驶的小客车通行。<br>限行时间:工作日07:00-10:00;15:00-20:00(周六日及法定假日除外)。<br>限行区域:<br>(一)延安高架路(S20以东段);<br>(二)南北高架路(呼玛路至鲁班立交段);<br>(三)逸仙高架路(全线);<br>(四)沪闵高架路(全线); <br>(五)中环路(全线);<br>(六)华夏高架路(全线);<br>(七)罗山高架路(全线);<br>(八)度假区高架路(中环路至秀浦路段);<br>(九)内环高架路(除内圈中山北二路入口至锦绣路出口、外圈锦绣路入口至黄兴路出口以外的路段);<br>(十)南浦大桥;<br>(十一)卢浦大桥;<br>(十二)延安东路隧道。	2
30	310000	全天禁止“沪C”号牌机动车辆驶入以下道路及区域内。<br>中环路(杨高南路立交桥至华夏高架路)、华夏高架路，外环隧道(黄浦江边起向西)-外环线环北大道-外环线环西二大道-外环线环西一大道-外环线环南一大道-杨高路立交-杨高南路-龙阳路立交-龙阳路-龙东大道-金桥路-金桥立交-杨高中路-杨高北路到长江边所构成的外环线道路范围内(含上述道路)	1
31	320100	全天禁止外地号牌、本地大货车、大客车(20座以上大巴)在长江大桥通行。	2
32	130100	工作日(法定节假日除外)7:30-8:30、17:30-19:00，禁止外埠车辆在二环路(不含)以内道路通行。	2
33	330200	江厦桥、灵桥规定时间内实行单双号限行，单号日期双号车牌限行，双号日期单号车牌限行。<br>车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准。	3
34	654000	法定工作日(周一至周五，节假日调整除外)每日早高峰08:50-10:20、午高峰13:00-14:00、晚高峰19:20-20:20;(以上时间均为北京时间),禁止外牌车(军警、消防、救护、客运班线车辆除外)在国道218线-省道220线-南环路-滨河路-X699线-重庆路围合区域内(不含以上道路)通行。	2
35	450200	柳江大桥在07:00-22:00实行单双号限行，单号日期双号车牌限行，双号日期单号车牌限行	3
36	420200	杭州东路(澄月岛路口至商场路口)在17:00-19:00实行单双号限行，单号日期双号车牌限行，双号日期单号车牌限行	3
37	650100	法定工作日(周一至周五，假日调整除外)每日北京时间09:00-10:30(早高峰)、18:30-21:00(晚高峰)。<br>以下区域禁止外埠号牌车辆(军警、消防、救护、客运班线车辆除外)通行:<br>河南西路-河南东路-红光山路-会展南路-东外环路-东后街-东大梁西街-大湾北路-大湾南路-三屯碑路-新华南路-应急通道-河滩快速路-珠江路-仓房沟路-钱塘江路-西外环路(含上述道路及高架桥下道路)等道路围合的区域。	2
38	130600	一、限行时间:<br>自2016年6月1日至12月31日，每天7时至20时，市城建界内施行机动车限行措施(不含周六日)。<br>二、限行区域:<br>市城建界内:107国道(不含)以东、腾飞大街(含)以西、永济路(含)以南、郦道元路(含)以北。<br>三、限行规定:<br>(一)限行尾号与北京市保持一致，车牌尾号是字母的按数字0管理。<br>1.自2016年6月1日至7月10日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6;<br>2.自2016年7月11日至10月9日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0;<br>3.自2016年10月10日至12月31日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9。<br>(二)以下机动车不受上述限行措施限制:<br>1.军车、警车、消防车、救护车、送血车和抢险救险车;<br>2.公共汽车、省际长途客车及大型客车、出租车(不含租赁汽车)、旅游客车(具备旅游客车营运证)、邮政专用车、运钞车、经公安交通管理大队核定的单位班车和具有接送学生车辆标识的车辆;<br>3.环卫、园林、道路养护的专项作业车辆，殡仪馆的殡葬车辆;<br>4.车身喷涂统一标识，并执行任务的行政执法车和清障专用车;<br>5.法律法规规定的其它不受行驶路线、行驶方向限制的车辆。<br>四、对违反限行规定的，由公安交通管理部门按照道路交通安全管理法律、法规的相关规定，依法进行处罚。	3
39	210200	对于广大市民反映的滨海路沿线周末时段交通拥阻问题，5月20日起，交警部门将采取机动车单双号限行措施，使这一问题得到有效解决。<br>【具体措施】<br>1、限行时间：2016年5月20日至10月8日期间所有法定节假日的9时至16时。<br>2、限行路段：滨海路东段的迎宾路至石槽、滨海路中段的虎雕群停车场至小傅家庄浴场、滨海路西段的进入星海湾大桥匝道口至国宝典藏路段（以现场设置的交通标志为准）。<br>3、限行范围：悬挂辽B号段的7座以下小型客车（不含7座、不含出租车）。<br>4、限行规则<br>（1）上述车辆按机动车号牌最末位数字（号）和当天日期（日），单号单日、双号双日行驶；号牌最末位为字母的，以前一位阿拉伯数字为准。（单：1、3、5、7、9；双：2、4、6、8、0）<br>（2）滨海路全线全天禁止非机动车、摩托车、货运车辆通行。<br>（3）滨海路沿线的停车场无空闲泊位时，等候进场车辆禁止在车行道滞留等候。<br>	1
40	141000	    为缓解城内交通压力，在交通管制期间内，将在“临汾市区铁路桥以西、滨河东路以东（不含滨河东路）；高河桥以南、南环路以北（不含南环路）”范围内施行机动车单双号限行。<br>    据了解，交通管制期间，除军车、警车、消防车、救护车、工程抢险车、运钞车、公交车、客运车、出租车、邮政专用车、特殊公务车；经有关部门核定的施工车辆、单位班车、学校校车、生活物资配送车；公用、环卫、园林作业车、市政养护车辆等特殊机动车辆外，其他机动车辆，在临汾市区范围内一律按车牌尾号实施限行（含临时号牌）。限行的机动车车牌尾号为单数单日通行，尾号为双数或英文字母的双日通行，各县市进入临汾市区管制区内的机动车辆，一律执行单双号限行规定，外省市机动车辆进入管制区，按照交通管制区域限制有关规定执行。<br>    交通管制期间，两条道路将改为单行线：在解放路，自市府街口至平阳广场路段，由西向东单向通行；在鼓楼东西大街，自平阳南北街东关十字交叉口至朝殿南巷南口，由东向西单向通行。此外，临汾市区铁路以西禁止三轮车辆通行，道路两旁严禁店外经营，摆设摊点，违法占用道路。<br>	3
