RINFID	行政区划编码	RINFORMATION	PNUMATT
11	520100	贵阳市籍小客车专段号牌、原段号牌、长期在本市行驶的外地号牌小型客车（已登记备案）实行“尾号限行”政策，工作日（周一至周五）7点至20点在贵阳市一环内（含一环）禁行。牌照尾号为1或6的车辆，限每周一； 牌照尾号为2或7的车辆，限每周二； 牌照尾号为3或8的车辆，限每周三；牌照尾号为4或9的车辆，限每周四；牌照尾号为5或0的车辆，限每周五。	3
12	520100	以贵A开头，以字母结尾的号牌的普通号牌，每日7:00至21:00禁止驶入贵阳市一环内（含一环）道路。	1
13	520100	长期在本市行驶的外地号牌小型客车（已登记备案）尾号为英文字母的，按“0”号管理，即星期五为停驶时间。	2
14	520100	外地车辆执行“开四停四”，指非贵阳市牌照（含临时牌照）9座以下载客汽车（未登记备案）实行驶入一环内（含一环）连续行驶时间最长不得超过4天（含4天，按自然天数计算），再次驶入须间隔4天以上。因特殊情况需超过4天行驶一环路(含一环路)以内道路的，持相关证明向贵阳市公安交通管理局申请办理临时通行证后通行，临时通行证有效期最长不超过2天。如遇国家法定节假日，不实施“开四停四”，节假日之后，“开四停四”清零重新计算。	2
15	220100	6时至20时，在人民广场、人民大街(新发路至卫星广场)、吉林大路(亚泰大街至东环城路)、自由大路(新民广场至东环城路)行驶的机动车按车牌尾号每月禁行三天，即车牌尾号与日期尾号相同的车辆，当日规定时段内不得驶入限行区域。如每月1日、11日和21日，车牌尾号为“1”的禁行；每月2日、12日和22日，车牌尾号为“2”的禁行，其余依此类推。车牌尾号为英文字母的按尾号为“4”管理，含临时号牌、外埠号牌，31日不做限制。	3
16	510100	所有“川A”及外地籍号牌号牌汽车,实行工作日(法定节假日除外)区域“尾号限行”政策。限行时间7:30-20:00，限行区域三环路（含）与二环路（含）之间区域内所有道路，含二环高架路面。限行车辆按照机动车号牌(含临时号牌)的最后一位阿拉伯数字分为五组，具体如下：星期一：1、6号限行；星期二：2、7号限行；星期三：3、8号限行；星期四：4、9号限行；星期五：5、0号限行；	3
17	360100	机动车在工作日（法定节假日除外）7时至21时实施尾号限行政策。限行区域为洪城路、抚河南路、施尧路的灌婴路口至三店西路口段、三店西路、井冈山大道的三店西路口至洪都南大道口段、洪都南大道、洪都中大道、洪都北大道、沿江北大道、沿江中大道围合的区域(含以上道路)和南昌大桥、八一大桥。对南昌市核发号牌尾数为英文字母的机动车（含机动车临时号牌和赣M号牌），按车牌最后一个阿拉伯数字实行。具体如下：星期一：1、6号限行；星期二：2、7号限行；星期三：3、8号限行；星期四：4、9号限行；星期五：5、0号限行；	1
18	360100	南昌大桥、八一大桥（不含南面匝道）每日7:00-9:30，16:30-20:30禁止外地号牌机动车通行。	2
19	360100	阳明路的象山路口至二经路口段、八一大道福州路口至中山路口段每日7:00-20:30禁止外地号牌机动车通行。	2
20	120000	自2015年1月11日至2016年4月9日，工作日(法定节假日除外)7时至19时，本市及外埠牌照机动车在外环线(不含)以内道路，继续实施车牌尾号区域限行交通管理措施。按车牌尾号区域限行的机动车号牌(含临时号牌)尾号分为5组，定期轮换限行日，分别为：(一)自2015年10月11日至2016年1月9日，星期一至星期五限行机动车号牌尾号分别为4和9、5和0、1和6、2和7、3和8；(二)自2016年1月10日至2016年4月10日，星期一至星期五限行机动车号牌尾号分别为3和8、4和9、5和0、1和6、2和7。                                                 (三)自2016年4月11日至2016年7月9日，星期一至星期五限行机动车车牌尾号分别为：2和7、3和8、4和9、5和0、1和6。                                             (四)自2016年7月10日至2016年10月9日，星期一至星期五限行机动车车牌尾号分别为：1和6、2和7、3和8、4和9、5和0。                                             (五)自2016年10月10日至2017年1月8日，星期一至星期五限行机动车车牌尾号分别为：5和0、1和6、2和7、3和8、4和9。	3
21	120000	自2015年1月11日起，工作日(法定节假日除外)每日7时至9时和16时至19时，全号段外埠牌照机动车在外环线(不含)以内道路禁止通行。	2
22	620100	所有9座以下社会车辆和出租车执行尾号限行规定。限行时间工作日7点到20点，限行区域东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。机动车按车牌尾号和对应的日期依次执行限行，即车牌尾号为l、6的机动车，每月1日、6日、11日、16日、21日、26日、31日限行；车牌尾号为2、7的机动车，每月2日、7日、12日、17日、22日、27日限行；车牌尾号为3、8的机动车，每月3日、8日、13日、18日、23日、28日限行；车牌尾号为4、9的机动车，每月4日、9日、14日、19日、24日、29日限行；车牌尾号为5、O的机动车，每月5日、10日、15日、20日、25日、30日限行。周六周天、国家法定节假日不限行；因法定节假日而导致双休日变更为工作日的，按对应的工作日限行。	1
23	620100	对非兰州市号牌核载不足9人的载客汽车执行高峰限行措施，即工作日7:30至9:00、11:00至12:30、17:00至19:30限行，法定节假日(含调休日)、双休日不限行。限行区域：东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。	2
24	420100	长江大桥，江汉桥每日7时至22时，中型（含）以下载客汽车按车牌尾号分单双号通行，即车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行；车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行；出租车不受限制。	3
25	420100	2014年6月9日至2016年6月30日， 每日7：00至20：00，岱黄公路（三金潭立交－府河收费站）段中型（含）以下载客汽车按车牌尾号分单双日通行，车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行；车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行；出租车不受限制；车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准。	3
26	440300	经东门中路南北双向通行的社会车辆，每日15时至19时，按车牌号最后一位阿拉伯数字对应日期尾数，同为单数或同为双数的，准予进入通行。	3
27	440300	东门商业步行街区域（指东门路以西、立新路以南、新园路以东、深南辅路和永新街以北内侧人行道范围内）每日7时至24时，除执行任务的特种车辆外，禁止其他车辆在区域内通行。	3
28	440300	在工作日7:00-9:00,17:30-19:30，禁止非本市核发机动车号牌载客汽车在以下区域通行：（一）福田区、罗湖区、南山区、盐田区，除去进出深圳口岸路段。                   （二）龙岗区1、区域一：东起龙城大道（含龙城大道），西至黄阁路（含黄阁路），南起龙翔大道（含龙翔大道），北至龙平西路（含龙平西路）及其合围区域内道路。区域二：东起坂雪岗大道（含坂雪岗大道），西至五和大道（含五和大道），南起雅园路（含雅园路），北至雪岗北路（含雪岗北路）及其合围区域内道路。2、道路：坂雪岗大道。（三）宝安区1、区域：东起前进一路、二路（含前进一路、二路），西至新湖路（含新湖路），南起湖滨西路、中路（含湖滨西路、中路），北至西乡大道（不含西乡大道）及其合围区域内道路。2、道路：宝安大道。（四）龙华新区1、区域：东起梅观高速（不含梅观高速），西至福龙路（不含福龙路），南起南坪快速（不含南坪快速），北至机荷高速（不含机荷高速）及其合围区域内道路。2、道路：观澜大道，大和路，沿河路。（五）光明新区道路：光明大道。（六）坪山新区道路：中山大道。（七）大鹏新区道路：迎宾路。	2
29	310000	禁止悬挂外省市机动车号牌的小客车、使用临时行驶车号牌的小客车、未载客的出租小客车及实习期驾驶员驾驶的小客车通行。限行时间工作日07:00-10:00；15:00-20:00（周六日及法定假日除外），限行区域：（一）延安高架路（S20以东段）；（二）南北高架路（呼玛路至鲁班立交段）；（三）逸仙高架路（全线）；（四）沪闵高架路（全线）； （五）中环路（全线）；（六）华夏高架路（全线）；（七）罗山高架路（全线）；（八）度假区高架路（中环路至秀浦路段）；（九）内环高架路（除内圈中山北二路入口至锦绣路出口、外圈锦绣路入口至黄兴路出口以外的路段）；（十）南浦大桥；（十一）卢浦大桥；（十二）延安东路隧道。	2
30	310000	全天禁止“沪C”号牌机动车辆驶入以下道路及区域内。中环路(杨高南路立交桥至华夏高架路)、华夏高架路，外环隧道(黄浦江边起向西)——外环线环北大道——外环线环西二大道——外环线环西一大道——外环线环南一大道——杨高路立交——杨高南路——龙阳路立交——龙阳路——龙东大道——金桥路——金桥立交——杨高中路——杨高北路到长江边所构成的外环线道路范围内(含上述道路)	1
31	320100	全天禁止外地号牌、本地大货车、大客车(20座以上大巴)在长江大桥通行。	2
32	130100	工作日（法定节假日除外）7:30-8:30、17:30-19:00，禁止外埠车辆在二环路（不含）以内道路通行。	2
33	330200	江厦桥、灵桥规定时间内实行单双号限行，单号日期单号车牌限行，双号日期双号车牌限行，车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准。	3
34	654000	法定工作日（周一至周五，节假日调整除外）每日早高峰08：50—10：20、午高峰13：00—14:00、晚高峰19：20—20：20；（以上时间均为北京时间）,禁止外牌车在国道218线--省道220线--南环路--滨河路--X699线--重庆路围合区域内（不含以上道路）通行。	2
35	450200	柳江大桥在07:00-22:00实行单双号限行，单号日期单号车牌限行，双号日期双号车牌限行	3
36	420200	杭州东路（澄月岛路口至商场路口）在17:00-19:00实行单双号限行，单号日期单号车牌限行，双号日期双号车牌限行	3
37	650100	法定工作日（周一至周五，假日调整除外）每日北京时间09:00—10:30（早高峰）、18:30—21:00（晚高峰）,以下区域禁止外埠号牌车辆（军警、消防、救护、客运班线车辆除外）通行，河南西路—河南东路—红光山路—会展南路-东外环路—东后街—东大梁西街—大湾北路—大湾南路—三屯碑路—新华南路—应急通道—河滩快速路—珠江路—仓房沟路—钱塘江路—西外环路（含上述道路及高架桥下道路）等道路围合的区域。	2
